case_number,court_id,state,district,judge_id,case_type,case_category,bench_type,current_stage,stage_index,filing_date,case_age_days,stage_age_days,hearings_held,adjournments,adjournment_rate,stagnation_flag,is_undertrial,district_avg_disposal_days,statutory_deadline_days,days_beyond_statutory,disposal_days,delay_risk_score,delay_risk_label,case_age_normalized,hearing_density,stage_completion_ratio,case_type_enc,case_category_enc,bench_type_enc,current_stage_enc,state_enc,legal_urgency_score,urgency_flags,predicted_disposal_days,ml_delay_risk_score,ml_delay_risk_label,priority_score,priority_label,priority_emoji,court_rank,docket_label
CASE/6800/2019,BIH-PAT-14,Bihar,Patna,JDG-755,Execution,Motor_Accident,Full_Bench,Execution,7,2015-08-18,3423,4,80,28,0.35,0,0,987,1825,1598,47,33.3,Medium,1.8756164383561644,0.7011393514461,1.0,3,4,1,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (3423d > 1825d); 📛 Aged case: 9+ years pending,47,33.3,Medium,66.94,High,🟠,7,[#7] 🟠 High
CASE/5788/2022,BIH-PAT-14,Bihar,Patna,JDG-920,Revision,NDPS,Single_Judge,Execution,7,2016-04-01,3196,42,83,33,0.39759036144578314,0,0,305,1095,2101,52,33.3,Medium,2.9187214611872148,0.77909887359199,1.0,4,5,4,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (3196d > 1095d); 📛 Aged case: 8+ years pending,52,33.3,Medium,66.48,High,🟠,8,[#8] 🟠 High
CASE/7853/2016,BIH-PAT-14,Bihar,Patna,JDG-346,Appeal,General_Civil,Magistrate,Execution,7,2020-01-28,1799,259,48,19,0.3958333333333333,1,0,1229,2190,0,53,66.7,High,0.8214611872146119,0.8004446914952751,1.0,0,1,2,3,0,45.0,🔔 Approaching statutory deadline (82% elapsed); 🟥 Critical stagnation: 259d in 'Execution' stage (limit 120d); 📛 Long-pending: 4+ years,53,66.7,High,61.71,High,🟠,9,[#9] 🟠 High
CASE/0916/2020,BIH-PAT-14,Bihar,Patna,JDG-479,Writ,Motor_Accident,Full_Bench,Execution,7,2019-10-10,1909,40,55,20,0.36363636363636365,0,0,696,1825,84,48,33.3,High,1.046027397260274,0.8643268727082242,1.0,5,4,1,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (1909d > 1825d); 📛 Aged case: 5+ years pending,48,33.3,Medium,58.48,High,🟠,10,[#10] 🟠 High
CASE/3260/2023,BIH-PAT-14,Bihar,Patna,JDG-444,Criminal,Property_Dispute,Magistrate,Arguments,5,2019-06-05,2036,6,41,26,0.6341463414634146,0,0,1329,2920,0,54,33.3,Medium,0.6972602739726027,0.6041257367387034,0.7142857142857143,2,7,2,1,0,35.0,📅 Past halfway of statutory limit; 🔁 High adjournment rate: 63% (26/41 hearings); 📛 Aged case: 5+ years pending,54,33.3,Medium,50.36,High,🟠,11,[#11] 🟠 High
CASE/2766/2022,BIH-PAT-14,Bihar,Patna,JDG-760,Revision,SC_ST,Magistrate,Arguments,5,2023-01-15,716,4,12,4,0.3333333333333333,0,0,146,730,0,47,33.3,High,0.9808219178082191,0.5027932960893855,0.7142857142857143,4,8,2,1,0,43.0,🔔 Approaching statutory deadline (98% elapsed); 🔴 SC/ST PoA: Priority disposal required,47,33.3,Medium,49.0,Medium,🟡,12,[#12] 🟡 Medium
CASE/6069/2015,BIH-PAT-14,Bihar,Patna,JDG-539,Appeal,General_Civil,Sessions,Arguments,5,2022-10-28,795,326,25,9,0.36,1,0,846,2190,0,135,33.3,Medium,0.363013698630137,0.9433962264150944,0.7142857142857143,0,1,3,1,0,15.0,🟥 Critical stagnation: 326d in 'Arguments' stage (limit 90d),135,33.3,Medium,31.41,Medium,🟡,13,[#13] 🟡 Medium
CASE/6249/2019,BIH-PAT-14,Bihar,Patna,JDG-243,Appeal,Motor_Accident,Magistrate,Execution,7,2022-12-01,761,146,14,4,0.2857142857142857,1,0,665,1825,0,48,33.3,Medium,0.41698630136986303,0.5519053876478318,1.0,0,4,2,3,0,0.0,No urgent flags,48,33.3,Medium,26.57,Medium,🟡,14,[#14] 🟡 Medium
CASE/3682/2020,BIH-PAT-15,Bihar,Patna,JDG-381,Revision,Motor_Accident,Division_Bench,Execution,7,2017-02-16,2875,230,58,26,0.4482758620689655,1,0,651,1825,1050,54,66.7,High,1.5753424657534247,0.6052173913043478,1.0,4,4,0,3,0,55.0,⚠️ STATUTORY DEADLINE BREACHED (2875d > 1825d); 🟠 Stagnation detected: 230d in 'Execution' stage; 📛 Aged case: 7+ years pending,54,66.7,High,76.0,Critical,🔴,1,[#1] 🔴 Critical
CASE/7032/2023,BIH-PAT-15,Bihar,Patna,JDG-325,Civil,POCSO,Full_Bench,Execution,7,2015-11-15,3334,3,67,28,0.417910447761194,0,0,106,365,2969,47,33.3,Medium,9.134246575342466,0.6028794241151769,1.0,1,6,1,3,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (3334d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Aged case: 9+ years pending,47,33.3,Medium,73.76,High,🟠,2,[#2] 🟠 High
CASE/8387/2017,BIH-PAT-15,Bihar,Patna,JDG-444,Civil,POCSO,Full_Bench,Arguments,5,2015-12-09,3310,1,72,18,0.25,0,0,154,365,2945,48,33.3,Medium,9.068493150684931,0.6525679758308157,0.7142857142857143,1,6,1,1,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (3310d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Aged case: 9+ years pending,48,33.3,Medium,73.71,High,🟠,3,[#3] 🟠 High
CASE/9825/2024,BIH-PAT-15,Bihar,Patna,JDG-154,Revision,General_Civil,Magistrate,Judgment,6,2015-07-24,3448,46,85,37,0.43529411764705883,0,0,1180,2190,1258,51,66.7,High,1.5744292237442923,0.7395591647331786,0.8571428571428571,4,1,2,5,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (3448d > 2190d); 📛 Aged case: 9+ years pending,51,66.7,High,73.67,High,🟠,4,[#4] 🟠 High
CASE/4287/2023,BIH-PAT-15,Bihar,Patna,JDG-446,Criminal,Matrimonial,Division_Bench,Execution,7,2015-10-02,3378,102,74,33,0.44594594594594594,1,0,543,1825,1553,52,66.7,High,1.850958904109589,0.6571936056838367,1.0,2,3,0,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (3378d > 1825d); 📛 Aged case: 9+ years pending,52,66.7,High,73.53,High,🟠,5,[#5] 🟠 High
CASE/4136/2020,BIH-PAT-15,Bihar,Patna,JDG-985,Writ,SC_ST,Magistrate,Arguments,5,2016-04-19,3178,18,59,19,0.3220338983050847,0,0,222,730,2448,51,33.3,Medium,4.353424657534247,0.5569540591567023,0.7142857142857143,5,8,2,1,0,63.0,⚠️ STATUTORY DEADLINE BREACHED (3178d > 730d); 🔴 SC/ST PoA: Priority disposal required; 📛 Aged case: 8+ years pending,51,33.3,Medium,72.74,High,🟠,6,[#6] 🟠 High
CASE/3217/2017,BIH-PAT-15,Bihar,Patna,JDG-782,Civil,POCSO,Magistrate,Judgment,6,2020-08-08,1606,6,42,17,0.40476190476190477,0,0,147,365,1241,45,33.3,Medium,4.4,0.7845579078455791,0.8571428571428571,1,6,2,5,0,60.0,⚠️ STATUTORY DEADLINE BREACHED (1606d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Long-pending: 4+ years,45,33.3,Medium,67.78,High,🟠,7,[#7] 🟠 High
CASE/9106/2016,BIH-PAT-15,Bihar,Patna,JDG-936,Writ,Matrimonial,Full_Bench,Arguments,5,2018-03-22,2476,12,55,19,0.34545454545454546,0,0,524,1825,651,45,33.3,Medium,1.3567123287671232,0.6663974151857835,0.7142857142857143,5,3,1,1,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2476d > 1825d); 📛 Aged case: 6+ years pending,45,33.3,Medium,63.99,High,🟠,8,[#8] 🟠 High
CASE/3085/2020,BIH-PAT-15,Bihar,Patna,JDG-613,Execution,General_Criminal,Magistrate,Execution,7,2021-10-14,1174,74,28,9,0.32142857142857145,0,0,426,730,444,49,33.3,Medium,1.6082191780821917,0.7155025553662692,1.0,3,2,2,3,0,40.0,⚠️ STATUTORY DEADLINE BREACHED (1174d > 730d); 📛 Long-pending: 3+ years,49,33.3,Medium,58.57,High,🟠,9,[#9] 🟠 High
CASE/0980/2019,BIH-PAT-15,Bihar,Patna,JDG-472,Execution,Property_Dispute,Single_Judge,Execution,7,2019-06-20,2021,445,40,12,0.3,1,0,1218,2920,0,47,33.3,Medium,0.6921232876712329,0.5937654626422564,1.0,3,7,4,3,0,40.0,📅 Past halfway of statutory limit; 🟥 Critical stagnation: 445d in 'Execution' stage (limit 120d); 📛 Aged case: 5+ years pending,47,33.3,Medium,52.0,High,🟠,10,[#10] 🟠 High
CASE/9529/2017,BIH-PAT-15,Bihar,Patna,JDG-643,Criminal,Property_Dispute,Magistrate,Arguments,5,2018-11-13,2240,16,46,9,0.1956521739130435,0,0,1224,2920,0,45,33.3,Medium,0.7671232876712328,0.6160714285714285,0.7142857142857143,2,7,2,1,0,35.0,🔔 Approaching statutory deadline (76% elapsed); 📛 Aged case: 6+ years pending,45,33.3,Medium,51.75,High,🟠,11,[#11] 🟠 High
CASE/3709/2018,BIH-PAT-15,Bihar,Patna,JDG-639,Revision,Property_Dispute,Magistrate,Arguments,5,2023-08-24,495,291,16,6,0.375,1,0,996,2920,0,850,33.3,Low,0.1695205479452055,0.9696969696969697,0.7142857142857143,4,7,2,1,0,15.0,🟥 Critical stagnation: 291d in 'Arguments' stage (limit 90d),850,33.3,Medium,24.81,Low,🟢,12,[#12] 🟢 Low
CASE/5546/2022,BIH-PAT-16,Bihar,Patna,JDG-575,Writ,Commercial,Single_Judge,Execution,7,2016-05-24,3143,61,72,16,0.2222222222222222,1,0,268,365,2778,58,66.7,High,8.610958904109589,0.6872414890232262,1.0,5,0,4,3,0,55.0,⚠️ STATUTORY DEADLINE BREACHED (3143d > 180d); ⚖️ Commercial Courts Act: Disposal overdue (>6 months); 📛 Aged case: 8+ years pending,58,66.7,High,76.55,Critical,🔴,1,[#1] 🔴 Critical
CASE/5958/2017,BIH-PAT-16,Bihar,Patna,JDG-183,Civil,POCSO,Sessions,Arguments,5,2016-06-03,3133,0,78,27,0.34615384615384615,0,0,138,365,2768,49,33.3,Medium,8.583561643835617,0.7468879668049793,0.7142857142857143,1,6,3,1,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (3133d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Aged case: 8+ years pending,49,33.3,Medium,73.35,High,🟠,2,[#2] 🟠 High
CASE/6233/2024,BIH-PAT-16,Bihar,Patna,JDG-867,Execution,Commercial,Magistrate,Execution,7,2015-02-21,3601,11,99,48,0.48484848484848486,0,0,272,365,3236,53,33.3,Medium,9.865753424657534,0.824770896973063,1.0,3,0,2,3,0,55.0,⚠️ STATUTORY DEADLINE BREACHED (3601d > 180d); ⚖️ Commercial Courts Act: Disposal overdue (>6 months); 📛 Aged case: 9+ years pending,53,33.3,Medium,70.81,High,🟠,3,[#3] 🟠 High
CASE/7578/2024,BIH-PAT-16,Bihar,Patna,JDG-834,Writ,Commercial,Single_Judge,Execution,7,2016-05-28,3139,35,85,32,0.3764705882352941,0,0,344,365,2774,55,33.3,Medium,8.6,0.812360624402676,1.0,5,0,4,3,0,55.0,⚠️ STATUTORY DEADLINE BREACHED (3139d > 180d); ⚖️ Commercial Courts Act: Disposal overdue (>6 months); 📛 Aged case: 8+ years pending,55,33.3,Medium,69.86,High,🟠,4,[#4] 🟠 High
CASE/6510/2022,BIH-PAT-16,Bihar,Patna,JDG-974,Appeal,Commercial,Full_Bench,Execution,7,2019-09-09,1940,1,46,11,0.2391304347826087,0,0,319,365,1575,47,33.3,Medium,5.315068493150685,0.7113402061855669,1.0,0,0,1,3,0,55.0,⚠️ STATUTORY DEADLINE BREACHED (1940d > 180d); ⚖️ Commercial Courts Act: Disposal overdue (>6 months); 📛 Aged case: 5+ years pending,47,33.3,Medium,67.4,High,🟠,5,[#5] 🟠 High
CASE/8769/2019,BIH-PAT-16,Bihar,Patna,JDG-530,Execution,General_Criminal,Magistrate,Judgment,6,2016-08-27,3048,20,67,22,0.3283582089552239,0,0,579,730,2318,48,33.3,Medium,4.175342465753425,0.6594488188976378,0.8571428571428571,3,2,2,5,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (3048d > 730d); 📛 Aged case: 8+ years pending,48,33.3,Medium,66.17,High,🟠,6,[#6] 🟠 High
CASE/6515/2017,BIH-PAT-16,Bihar,Patna,JDG-135,Appeal,Motor_Accident,Magistrate,Execution,7,2016-11-18,2965,100,68,20,0.29411764705882354,0,0,689,1825,1140,46,33.3,Medium,1.6246575342465754,0.688026981450253,1.0,0,4,2,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2965d > 1825d); 📛 Aged case: 8+ years pending,46,33.3,Medium,66.0,High,🟠,7,[#7] 🟠 High
CASE/1284/2018,BIH-PAT-16,Bihar,Patna,JDG-172,Criminal,General_Civil,Magistrate,Arguments,5,2018-09-13,2301,47,45,16,0.35555555555555557,0,0,777,2190,111,46,33.3,Medium,1.0506849315068494,0.5867014341590613,0.7142857142857143,2,1,2,1,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2301d > 2190d); 📛 Aged case: 6+ years pending,46,33.3,Medium,59.35,High,🟠,8,[#8] 🟠 High
CASE/7139/2020,BIH-PAT-16,Bihar,Patna,JDG-913,Revision,Motor_Accident,Magistrate,Execution,7,2020-03-10,1757,50,43,16,0.37209302325581395,0,0,632,1825,0,48,33.3,Medium,0.9627397260273972,0.7342060330108139,1.0,4,4,2,3,0,30.0,🔔 Approaching statutory deadline (96% elapsed); 📛 Long-pending: 4+ years,48,33.3,Medium,51.54,High,🟠,9,[#9] 🟠 High
CASE/9448/2020,BIH-PAT-16,Bihar,Patna,JDG-154,Appeal,General_Civil,Magistrate,Arguments,5,2020-01-29,1798,81,42,18,0.42857142857142855,0,0,881,2190,0,45,33.3,Medium,0.8210045662100457,0.7007786429365963,0.7142857142857143,0,1,2,1,0,30.0,🔔 Approaching statutory deadline (82% elapsed); 📛 Long-pending: 4+ years,45,33.3,Medium,49.77,Medium,🟡,10,[#10] 🟡 Medium
CASE/6599/2019,BIH-PAT-16,Bihar,Patna,JDG-353,Execution,General_Criminal,Single_Judge,Execution,7,2023-03-01,671,67,17,1,0.058823529411764705,0,0,551,730,0,40,33.3,Medium,0.9191780821917809,0.7600596125186289,1.0,3,2,4,3,0,25.0,🔔 Approaching statutory deadline (91% elapsed),40,33.3,Medium,41.22,Medium,🟡,11,[#11] 🟡 Medium
CASE/0782/2017,BIH-PAT-16,Bihar,Patna,JDG-168,Appeal,Property_Dispute,Sessions,Execution,7,2021-05-04,1337,361,34,12,0.35294117647058826,1,0,1283,2920,0,54,33.3,Medium,0.45787671232876714,0.762902019446522,1.0,0,7,3,3,0,20.0,🟥 Critical stagnation: 361d in 'Execution' stage (limit 120d); 📛 Long-pending: 3+ years,54,33.3,Medium,38.81,Medium,🟡,12,[#12] 🟡 Medium
CASE/3055/2019,BIH-PAT-17,Bihar,Patna,JDG-608,Criminal,NDPS,Full_Bench,Execution,7,2018-06-13,2393,30,50,18,0.36,0,1,385,1095,1298,47,66.7,High,2.1853881278538814,0.6268282490597576,1.0,2,5,1,3,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (2393d > 1095d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (2393d ≥ 1216d); 📛 Aged case: 6+ years pending,47,66.7,High,78.51,Critical,🔴,1,[#1] 🔴 Critical
CASE/1935/2018,BIH-PAT-17,Bihar,Patna,JDG-845,Criminal,SC_ST,Division_Bench,Judgment,6,2019-01-21,2171,37,49,15,0.30612244897959184,1,0,200,730,1441,53,66.7,High,2.973972602739726,0.6771073238139107,0.8571428571428571,2,8,0,5,0,63.0,⚠️ STATUTORY DEADLINE BREACHED (2171d > 730d); 🔴 SC/ST PoA: Priority disposal required; 📛 Aged case: 5+ years pending,53,66.7,High,77.35,Critical,🔴,2,[#2] 🔴 Critical
CASE/7486/2015,BIH-PAT-17,Bihar,Patna,JDG-650,Appeal,SC_ST,Sessions,Arguments,5,2017-10-03,2646,29,66,18,0.2727272727272727,0,0,232,730,1916,48,33.3,High,3.6246575342465754,0.7482993197278911,0.7142857142857143,0,8,3,1,0,63.0,⚠️ STATUTORY DEADLINE BREACHED (2646d > 730d); 🔴 SC/ST PoA: Priority disposal required; 📛 Aged case: 7+ years pending,48,33.3,Medium,71.65,High,🟠,3,[#3] 🟠 High
CASE/9858/2024,BIH-PAT-17,Bihar,Patna,JDG-674,Civil,SC_ST,Division_Bench,Judgment,6,2018-01-12,2545,10,57,18,0.3157894736842105,0,0,235,730,1815,49,33.3,Medium,3.4863013698630136,0.6719056974459725,0.8571428571428571,1,8,0,5,0,63.0,⚠️ STATUTORY DEADLINE BREACHED (2545d > 730d); 🔴 SC/ST PoA: Priority disposal required; 📛 Aged case: 6+ years pending,49,33.3,Medium,71.44,High,🟠,4,[#4] 🟠 High
CASE/0693/2017,BIH-PAT-17,Bihar,Patna,JDG-124,Appeal,Motor_Accident,Full_Bench,Arguments,5,2018-03-05,2493,5,61,25,0.4098360655737705,0,0,683,1825,668,45,66.7,Medium,1.366027397260274,0.7340553549939832,0.7142857142857143,0,4,1,1,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2493d > 1825d); 📛 Aged case: 6+ years pending,45,66.7,High,70.84,High,🟠,5,[#5] 🟠 High
CASE/2785/2019,BIH-PAT-17,Bihar,Patna,JDG-524,Execution,Commercial,Single_Judge,Execution,7,2019-01-31,2161,40,51,19,0.37254901960784315,0,0,248,365,1796,48,33.3,Medium,5.920547945205479,0.7080055529847293,1.0,3,0,4,3,0,55.0,⚠️ STATUTORY DEADLINE BREACHED (2161d > 180d); ⚖️ Commercial Courts Act: Disposal overdue (>6 months); 📛 Aged case: 5+ years pending,48,33.3,Medium,67.85,High,🟠,6,[#6] 🟠 High
CASE/4126/2022,BIH-PAT-17,Bihar,Patna,JDG-714,Revision,General_Criminal,Division_Bench,Execution,7,2016-01-05,3283,33,72,20,0.2777777777777778,0,0,429,730,2553,49,33.3,Medium,4.497260273972603,0.6579348157173317,1.0,4,2,0,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (3283d > 730d); 📛 Aged case: 8+ years pending,49,33.3,Medium,66.66,High,🟠,7,[#7] 🟠 High
CASE/0067/2019,BIH-PAT-17,Bihar,Patna,JDG-857,Revision,SC_ST,Division_Bench,Judgment,6,2021-03-04,1398,13,33,5,0.15151515151515152,0,0,172,730,668,45,33.3,Medium,1.915068493150685,0.7081545064377682,0.8571428571428571,4,8,0,5,0,58.0,⚠️ STATUTORY DEADLINE BREACHED (1398d > 730d); 🔴 SC/ST PoA: Priority disposal required; 📛 Long-pending: 3+ years,45,33.3,Medium,66.02,High,🟠,8,[#8] 🟠 High
CASE/2965/2024,BIH-PAT-17,Bihar,Patna,JDG-460,Civil,POCSO,Full_Bench,Execution,7,2022-09-12,841,5,23,7,0.30434782608695654,0,0,165,365,476,47,33.3,Medium,2.304109589041096,0.8204518430439952,1.0,1,6,1,3,0,55.0,⚠️ STATUTORY DEADLINE BREACHED (841d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35),47,33.3,Medium,60.8,High,🟠,9,[#9] 🟠 High
CASE/9800/2021,BIH-PAT-17,Bihar,Patna,JDG-246,Execution,Matrimonial,Full_Bench,Execution,7,2019-11-23,1865,29,42,16,0.38095238095238093,0,0,540,1825,40,44,33.3,Medium,1.021917808219178,0.675603217158177,1.0,3,3,1,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (1865d > 1825d); 📛 Aged case: 5+ years pending,44,33.3,Medium,58.05,High,🟠,10,[#10] 🟠 High
CASE/8985/2022,BIH-PAT-17,Bihar,Patna,JDG-624,Criminal,Property_Dispute,Full_Bench,Execution,7,2019-12-21,1837,7,42,8,0.19047619047619047,0,0,1106,2920,0,48,33.3,Medium,0.6291095890410959,0.6859009254218835,1.0,2,7,1,3,0,25.0,📅 Past halfway of statutory limit; 📛 Aged case: 5+ years pending,48,33.3,Medium,45.49,Medium,🟡,11,[#11] 🟡 Medium
CASE/6811/2024,BIH-PAT-17,Bihar,Patna,JDG-319,Execution,General_Civil,Single_Judge,Execution,7,2021-12-24,1103,458,22,3,0.13636363636363635,1,0,1114,2190,0,44,33.3,Medium,0.5036529680365297,0.5983680870353582,1.0,3,1,4,3,0,35.0,📅 Past halfway of statutory limit; 🟥 Critical stagnation: 458d in 'Execution' stage (limit 120d); 📛 Long-pending: 3+ years,44,33.3,Medium,43.5,Medium,🟡,12,[#12] 🟡 Medium
CASE/7942/2019,BIH-PAT-18,Bihar,Patna,JDG-263,Criminal,NDPS,Magistrate,Execution,7,2015-04-10,3553,71,81,31,0.38271604938271603,1,1,473,1095,2458,55,100.0,Critical,3.2447488584474886,0.6839290740219532,1.0,2,5,2,3,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (3553d > 1095d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3553d ≥ 1216d); 📛 Aged case: 9+ years pending,55,100.0,Critical,87.55,Critical,🔴,1,[#1] 🔴 Critical
CASE/3655/2022,BIH-PAT-18,Bihar,Patna,JDG-364,Criminal,General_Criminal,Single_Judge,Execution,7,2015-10-20,3360,98,79,24,0.3037974683544304,1,1,510,730,2630,56,100.0,Critical,4.602739726027397,0.7053571428571429,1.0,2,2,4,3,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (3360d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3360d ≥ 608d); 📛 Aged case: 9+ years pending,56,100.0,Critical,87.15,Critical,🔴,2,[#2] 🔴 Critical
CASE/7479/2017,BIH-PAT-18,Bihar,Patna,JDG-618,Criminal,General_Criminal,Full_Bench,Execution,7,2015-06-20,3482,11,75,26,0.3466666666666667,0,1,605,730,2752,48,66.7,High,4.76986301369863,0.6461803561171741,1.0,2,2,1,3,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (3482d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3482d ≥ 608d); 📛 Aged case: 9+ years pending,48,66.7,High,80.74,Critical,🔴,3,[#3] 🔴 Critical
CASE/9186/2017,BIH-PAT-18,Bihar,Patna,JDG-351,Appeal,POCSO,Division_Bench,Execution,7,2018-01-10,2547,50,58,22,0.3793103448275862,1,0,117,365,2182,51,66.7,High,6.978082191780822,0.6831566548881036,1.0,0,6,0,3,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (2547d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Aged case: 6+ years pending,51,66.7,High,78.82,Critical,🔴,4,[#4] 🔴 Critical
CASE/2061/2022,BIH-PAT-18,Bihar,Patna,JDG-127,Writ,POCSO,Division_Bench,Judgment,6,2021-08-04,1245,27,37,10,0.2702702702702703,1,0,104,365,880,52,66.7,High,3.410958904109589,0.891566265060241,0.8571428571428571,5,6,0,5,0,60.0,⚠️ STATUTORY DEADLINE BREACHED (1245d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Long-pending: 3+ years,52,66.7,High,72.61,High,🟠,5,[#5] 🟠 High
CASE/9447/2018,BIH-PAT-18,Bihar,Patna,JDG-786,Revision,Senior_Citizen,Division_Bench,Execution,7,2019-04-11,2091,2,56,19,0.3392857142857143,0,0,80,180,1911,48,33.3,Medium,11.616666666666667,0.8034433285509326,1.0,4,9,0,3,0,60.0,⚠️ STATUTORY DEADLINE BREACHED (2091d > 180d); 🟠 Senior Citizen: Expedited disposal mandated; 📛 Aged case: 5+ years pending,48,33.3,Medium,69.46,High,🟠,6,[#6] 🟠 High
CASE/8752/2019,BIH-PAT-18,Bihar,Patna,JDG-347,Writ,General_Civil,Magistrate,Execution,7,2015-06-02,3500,114,92,34,0.3695652173913043,0,0,1200,2190,1310,47,33.3,Medium,1.5981735159817352,0.7885714285714286,1.0,5,1,2,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (3500d > 2190d); 📛 Aged case: 9+ years pending,47,33.3,Medium,67.1,High,🟠,7,[#7] 🟠 High
CASE/8584/2023,BIH-PAT-18,Bihar,Patna,JDG-392,Criminal,POCSO,Single_Judge,Execution,7,2021-06-21,1289,9,31,12,0.3870967741935484,0,0,156,365,924,46,33.3,High,3.5315068493150683,0.721489526764934,1.0,2,6,4,3,0,60.0,⚠️ STATUTORY DEADLINE BREACHED (1289d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Long-pending: 3+ years,46,33.3,Medium,66.16,High,🟠,8,[#8] 🟠 High
CASE/6605/2019,BIH-PAT-18,Bihar,Patna,JDG-865,Writ,Property_Dispute,Single_Judge,Judgment,6,2018-12-07,2216,559,59,19,0.3220338983050847,1,0,1091,2920,0,48,66.7,High,0.7589041095890411,0.7987364620938628,0.8571428571428571,5,7,4,5,0,50.0,🔔 Approaching statutory deadline (75% elapsed); 🟥 Critical stagnation: 559d in 'Judgment' stage (limit 60d); 📛 Aged case: 6+ years pending,48,66.7,High,63.52,High,🟠,9,[#9] 🟠 High
CASE/3140/2019,BIH-PAT-18,Bihar,Patna,JDG-501,Civil,Property_Dispute,Single_Judge,Execution,7,2016-02-13,3244,74,72,25,0.3472222222222222,0,0,966,2920,324,48,33.3,Medium,1.110958904109589,0.6658446362515412,1.0,1,7,4,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (3244d > 2920d); 📛 Aged case: 8+ years pending,48,33.3,Medium,62.13,High,🟠,10,[#10] 🟠 High
CASE/4136/2024,BIH-PAT-18,Bihar,Patna,JDG-563,Civil,Matrimonial,Magistrate,Execution,7,2019-07-12,1999,25,55,26,0.4727272727272727,0,0,691,1825,174,46,33.3,High,1.0953424657534248,0.8254127063531765,1.0,1,3,2,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (1999d > 1825d); 📛 Aged case: 5+ years pending,46,33.3,Medium,59.35,High,🟠,11,[#11] 🟠 High
CASE/4785/2016,BIH-PAT-18,Bihar,Patna,JDG-456,Execution,Property_Dispute,Magistrate,Arguments,5,2018-05-27,2410,62,50,15,0.3,0,0,1190,2920,0,48,33.3,Medium,0.8253424657534246,0.6224066390041494,0.7142857142857143,3,7,2,1,0,35.0,🔔 Approaching statutory deadline (82% elapsed); 📛 Aged case: 6+ years pending,48,33.3,Medium,52.92,High,🟠,12,[#12] 🟠 High
CASE/1608/2024,BIH-PAT-18,Bihar,Patna,JDG-754,Revision,Property_Dispute,Division_Bench,Judgment,6,2019-07-28,1983,408,48,20,0.4166666666666667,1,0,1363,2920,0,50,33.3,High,0.6791095890410959,0.7261724659606658,0.8571428571428571,4,7,0,5,0,40.0,📅 Past halfway of statutory limit; 🟥 Critical stagnation: 408d in 'Judgment' stage (limit 60d); 📛 Aged case: 5+ years pending,50,33.3,Medium,51.74,High,🟠,13,[#13] 🟠 High
CASE/6316/2022,BIH-PAT-18,Bihar,Patna,JDG-832,Revision,General_Civil,Sessions,Execution,7,2020-10-16,1537,30,30,5,0.16666666666666666,0,0,1068,2190,0,48,33.3,Medium,0.7018264840182649,0.5855562784645413,1.0,4,1,3,3,0,20.0,📅 Past halfway of statutory limit; 📛 Long-pending: 4+ years,48,33.3,Medium,43.26,Medium,🟡,14,[#14] 🟡 Medium
