court_id,Critical,High,Medium,Low,Total,Avg Priority Score
DEL-SOU-20,0,10,2,0,12,65.4
DEL-SOU-18,0,10,0,1,11,59.8
BIH-GAY-17,0,11,0,0,11,65.0
RAJ-JAI-16,0,7,4,1,12,51.9
WES-DUR-10,0,5,0,0,5,67.9
GUJ-SUR-20,0,14,1,1,16,62.9
KAR-MYS-03,0,10,0,0,10,66.5
GUJ-VAD-01,0,8,1,1,10,60.9
MAH-NAS-19,0,6,5,1,12,53.0
DEL-SOU-15,0,11,2,0,13,59.4
WES-DUR-17,0,4,4,1,9,48.0
KAR-MYS-14,0,10,4,1,15,57.0
UTT-VAR-13,0,3,3,0,6,52.0
BIH-MUZ-05,0,12,3,1,16,54.6
BIH-MUZ-14,0,8,3,0,11,57.0
MAH-NAS-06,0,8,5,0,13,54.5
UTT-LUC-06,0,3,2,1,6,55.6
RAJ-JOD-10,0,10,0,0,10,65.7
DEL-NOR-11,0,9,0,0,9,67.3
MAD-BHO-10,0,11,2,0,13,58.8
UTT-LUC-10,0,7,0,0,7,66.5
GUJ-SUR-10,0,7,1,1,9,56.1
UTT-LUC-12,0,12,3,1,16,57.6
UTT-LUC-13,0,8,2,0,10,59.7
MAD-BHO-08,0,9,2,0,11,65.6
RAJ-JOD-08,0,12,5,2,19,54.7
BIH-MUZ-15,0,6,2,4,12,46.3
UTT-LUC-20,0,6,3,0,9,61.0
GUJ-SUR-18,0,10,0,1,11,59.7
UTT-VAR-01,0,12,1,1,14,59.9
GUJ-SUR-12,0,2,0,0,2,65.4
MAH-NAS-09,0,9,0,0,9,67.7
UTT-VAR-04,0,7,3,1,11,56.4
UTT-VAR-05,0,6,4,0,10,56.2
UTT-VAR-06,0,5,0,0,5,70.4
MAH-NAS-11,0,5,1,1,7,58.3
GUJ-AHM-01,0,9,1,0,10,63.9
GUJ-SUR-13,0,7,2,1,10,60.0
BIH-MUZ-10,0,6,2,1,9,56.2
GUJ-SUR-16,0,8,1,0,9,60.0
KAR-MYS-17,0,13,1,0,14,65.7
BIH-GAY-10,0,10,3,3,16,51.4
RAJ-UDA-13,0,10,3,1,14,54.2
GUJ-VAD-05,0,8,4,0,12,56.6
BIH-GAY-07,0,9,2,0,11,62.1
WES-KOL-13,0,14,2,2,18,56.3
WES-KOL-14,0,7,0,3,10,52.5
KAR-HUB-09,0,8,4,1,13,56.5
KAR-HUB-08,0,6,1,0,7,58.5
MAH-PUN-18,0,10,1,0,11,63.9
MAH-PUN-07,0,3,0,1,4,54.6
MAH-PUN-08,0,10,1,4,15,50.6
KAR-HUB-03,0,5,3,2,10,47.5
KAR-HUB-02,0,8,0,2,10,55.8
BIH-BHA-10,0,6,3,0,9,57.6
WES-SIL-03,0,11,2,1,14,57.2
DEL-SOU-10,0,7,1,1,9,56.4
KAR-BEN-04,0,10,1,1,12,58.6
KAR-BEN-19,0,5,3,1,9,52.6
KAR-BEN-05,0,6,4,1,11,51.5
WES-SIL-08,0,12,3,0,15,59.5
WES-SIL-09,0,9,1,0,10,66.1
BIH-BHA-07,0,8,2,0,10,59.8
KAR-BEN-06,0,7,6,0,13,55.8
BIH-BHA-06,0,12,4,0,16,57.6
BIH-BHA-05,0,9,1,0,10,63.2
KAR-BEN-07,0,12,2,2,16,58.9
WES-SIL-15,0,7,0,2,9,52.2
DEL-SOU-11,0,8,3,2,13,53.2
WES-SIL-17,0,5,2,0,7,58.8
MAH-PUN-13,0,7,4,0,11,58.0
WES-SIL-19,0,9,5,1,15,53.8
KAR-HUB-10,0,10,0,0,10,65.1
WES-KOL-11,0,12,2,1,15,61.3
KAR-HUB-11,0,6,1,0,7,61.7
KAR-MAN-03,0,15,1,0,16,64.4
BIH-MUZ-20,0,10,3,1,14,55.5
RAJ-JAI-09,0,7,0,1,8,63.0
KAR-MAN-12,0,15,2,0,17,62.0
RAJ-JAI-08,0,8,2,2,12,55.2
BIH-GAY-06,0,8,1,2,11,55.7
WES-HOW-08,0,4,0,0,4,66.9
RAJ-JAI-07,0,8,2,1,11,59.4
BIH-GAY-04,0,5,1,2,8,52.0
GUJ-VAD-09,0,8,1,1,10,59.1
RAJ-JAI-06,0,13,2,1,16,60.8
WES-HOW-13,0,9,1,1,11,58.6
MAH-PUN-05,0,9,1,2,12,54.3
RAJ-JAI-04,0,2,1,0,3,61.5
MAH-PUN-06,0,9,1,0,10,65.4
GUJ-VAD-13,0,8,2,2,12,54.7
WES-HOW-18,0,9,1,0,10,62.3
DEL-SOU-02,0,9,1,1,11,56.0
GUJ-VAD-14,0,5,1,1,7,53.8
KAR-HUB-18,0,13,2,0,15,62.6
BIH-BHA-20,0,10,0,0,10,67.6
WES-KOL-03,0,14,6,0,20,56.9
KAR-HUB-17,0,10,1,0,11,67.3
DEL-SOU-03,0,7,2,1,10,52.3
DEL-SOU-04,0,12,3,1,16,59.2
KAR-HUB-14,0,3,1,0,4,55.9
MAH-PUN-20,0,9,1,0,10,62.1
UTT-LUC-04,0,8,2,2,12,54.4
GUJ-AHM-04,0,7,1,1,9,57.6
UTT-LUC-02,0,8,1,0,9,65.8
MAD-JAB-12,0,7,3,0,10,54.5
MAD-JAB-20,0,4,4,0,8,53.9
TAM-COI-08,0,9,4,0,13,58.8
RAJ-UDA-01,0,4,1,0,5,58.7
DEL-CEN-16,0,9,1,1,11,61.3
GUJ-RAJ-05,0,7,2,0,9,59.5
MAH-NAG-08,0,6,0,0,6,60.7
DEL-CEN-11,0,11,3,0,14,61.6
MAD-JAB-15,0,8,3,1,12,56.2
MAD-JAB-14,0,8,1,1,10,60.3
TAM-COI-17,0,6,0,2,8,54.0
DEL-CEN-10,0,2,3,0,5,49.4
MAD-JAB-13,0,8,4,1,13,53.3
MAD-JAB-10,0,9,4,1,14,56.4
TAM-COI-05,0,11,1,0,12,63.5
MAD-JAB-09,0,6,2,1,9,55.0
DEL-CEN-09,0,13,1,0,14,64.1
TAM-MAD-05,0,4,6,1,11,47.6
DEL-EAS-18,0,13,3,0,16,61.7
MAD-JAB-06,0,14,3,0,17,60.3
RAJ-KOT-15,0,10,1,0,11,63.0
DEL-CEN-06,0,9,2,0,11,61.6
MAD-JAB-03,0,8,1,0,9,60.2
MAH-NAG-11,0,6,3,1,10,50.7
TAM-MAD-13,0,6,3,2,11,48.2
DEL-NOR-01,0,8,1,2,11,56.3
TAM-MAD-16,0,9,1,2,12,53.2
DEL-EAS-16,0,17,1,1,19,64.1
TAM-COI-04,0,11,2,0,13,58.7
GUJ-AHM-03,0,9,3,0,12,60.5
TAM-CHE-07,0,10,3,1,14,58.7
DEL-EAS-08,0,6,2,1,9,52.1
RAJ-UDA-12,0,5,1,0,6,64.3
RAJ-UDA-17,0,9,4,0,13,57.7
DEL-EAS-06,0,10,1,0,11,64.9
MAH-MUM-20,0,12,3,2,17,54.8
RAJ-UDA-20,0,10,2,0,12,62.0
TAM-CHE-01,0,6,1,1,8,53.2
DEL-EAS-04,0,10,0,1,11,61.3
DEL-EAS-09,0,7,1,0,8,62.6
MAH-MUM-18,0,7,3,0,10,53.9
GUJ-AHM-14,0,10,1,2,13,56.0
TAM-CHE-06,0,3,1,1,5,45.4
DEL-CEN-20,0,8,0,1,9,57.9
RAJ-UDA-03,0,3,2,1,6,48.8
TAM-CHE-09,0,12,1,0,13,63.2
TAM-CHE-10,0,3,0,1,4,52.7
MAH-MUM-15,0,7,1,0,8,61.1
TAM-CHE-12,0,7,1,0,8,61.9
RAJ-UDA-10,0,7,2,1,10,57.7
MAH-NAG-02,0,8,1,2,11,55.5
GUJ-AHM-18,0,6,1,0,7,55.2
GUJ-AHM-19,0,8,3,0,11,58.9
GUJ-AHM-12,0,4,4,0,8,50.0
GUJ-AHM-10,0,9,1,4,14,52.5
RAJ-UDA-04,0,10,3,1,14,55.8
TAM-COI-02,0,13,2,0,15,60.3
GUJ-RAJ-11,0,13,1,0,14,66.1
DEL-CEN-02,0,16,4,1,21,59.1
TAM-MAD-20,0,7,2,0,9,62.8
MAD-GWA-05,0,10,3,0,13,57.8
RAJ-JOD-19,0,15,3,0,18,60.7
UTT-ALL-14,0,7,5,0,12,53.8
MAD-GWA-15,0,6,2,0,8,60.5
UTT-ALL-16,0,7,0,1,8,60.2
UTT-ALL-18,0,8,1,0,9,64.1
UTT-ALL-19,0,4,1,0,5,58.4
UTT-ALL-20,0,11,1,0,12,62.9
GUJ-SUR-01,0,9,1,1,11,59.4
MAD-GWA-10,0,14,1,1,16,63.2
MAD-GWA-09,0,5,2,0,7,54.9
MAD-GWA-08,0,10,2,0,12,64.5
GUJ-SUR-03,0,9,1,1,11,57.9
MAH-NAS-01,0,5,1,1,7,53.8
TAM-SAL-01,0,6,3,2,11,52.0
BIH-PAT-05,0,7,5,0,12,54.8
GUJ-AHM-05,0,10,2,0,12,62.6
UTT-KAN-11,0,14,1,2,17,58.4
UTT-KAN-12,0,11,3,0,14,62.3
MAD-GWA-01,0,7,2,1,10,52.0
BIH-PAT-04,0,16,1,2,19,58.4
BIH-PAT-03,0,13,2,0,15,62.7
MAH-NAS-03,0,13,3,1,17,59.1
RAJ-UDA-14,0,7,2,1,10,54.8
UTT-KAN-18,0,11,2,1,14,58.4
GUJ-SUR-07,0,4,0,2,6,50.3
MAD-BHO-16,0,3,3,2,8,46.1
RAJ-JOD-20,0,8,2,1,11,56.3
MAH-NAG-18,0,7,5,1,13,51.4
UTT-ALL-10,0,10,4,1,15,55.8
DEL-NOR-05,0,7,0,0,7,66.1
RAJ-KOT-10,0,4,1,0,5,55.0
TAM-SAL-03,0,11,3,1,15,59.3
TAM-SAL-04,0,13,1,0,14,63.1
MAH-NAG-15,0,7,2,0,9,60.3
TAM-SAL-07,0,14,0,0,14,66.6
MAD-IND-13,0,7,1,1,9,58.8
TAM-SAL-09,0,7,4,1,12,53.0
TAM-SAL-10,0,7,4,1,12,55.5
TAM-SAL-11,0,9,1,2,12,58.8
RAJ-KOT-07,0,8,1,1,10,56.6
KAR-BEN-12,0,12,4,0,16,60.0
MAH-NAG-16,0,7,1,0,8,61.9
TAM-SAL-15,0,9,1,0,10,64.9
DEL-SOU-12,0,7,3,0,10,54.5
DEL-NOR-03,0,6,1,0,7,63.2
MAD-IND-07,0,4,0,1,5,57.6
MAD-IND-06,0,7,0,1,8,61.1
MAD-IND-05,0,8,1,4,13,50.7
MAD-IND-04,0,7,2,1,10,55.4
BIH-PAT-12,0,12,4,2,18,54.6
MAD-IND-03,0,8,0,2,10,57.3
UTT-ALL-05,0,7,4,1,12,54.1
UTT-ALL-06,0,11,3,0,14,58.9
GUJ-RAJ-17,0,5,3,2,10,50.6
UTT-ALL-08,0,5,2,0,7,59.7
MAD-IND-09,0,9,2,2,13,52.1
