case_number,court_id,state,district,judge_id,case_type,case_category,bench_type,current_stage,stage_index,filing_date,case_age_days,stage_age_days,hearings_held,adjournments,adjournment_rate,stagnation_flag,is_undertrial,district_avg_disposal_days,statutory_deadline_days,days_beyond_statutory,disposal_days,delay_risk_score,delay_risk_label
CASE/0285/2019,BIH-BHA-02,Bihar,Bhagalpur,JDG-497,Criminal,POCSO,Division_Bench,Execution,7,2018-05-22,2415,4,67,25,0.373,0,0,157,365,2050,26,49.16,Medium
CASE/5684/2017,UTT-VAR-04,Uttar Pradesh,Varanasi,JDG-988,Civil,Property_Dispute,Sessions,Execution,7,2017-05-10,2792,279,66,22,0.333,1,0,1208,2920,0,80,57.2,High
CASE/9616/2020,UTT-LUC-05,Uttar Pradesh,Lucknow,JDG-194,Criminal,General_Criminal,Single_Judge,Execution,7,2022-06-12,933,12,14,6,0.429,0,1,454,730,203,10,60.4,High
CASE/8379/2018,RAJ-JOD-16,Rajasthan,Jodhpur,JDG-943,Execution,NDPS,Sessions,Execution,7,2015-08-21,3420,32,84,32,0.381,0,0,299,1095,2325,16,47.2,Medium
CASE/1355/2018,TAM-CHE-19,Tamil Nadu,Chennai,JDG-611,Appeal,Motor_Accident,Sessions,Judgment,6,2022-09-14,839,401,20,4,0.2,1,0,773,1825,0,25,46.95,Medium
CASE/2473/2017,UTT-LUC-05,Uttar Pradesh,Lucknow,JDG-261,Civil,Motor_Accident,Division_Bench,Arguments,5,2016-04-18,3179,60,83,22,0.265,0,0,792,1825,1354,10,53.29,High
CASE/2288/2015,UTT-KAN-14,Uttar Pradesh,Kanpur,JDG-889,Execution,Property_Dispute,Sessions,Judgment,6,2016-04-16,3181,63,57,17,0.298,0,0,1193,2920,261,10,46.01,Medium
CASE/1713/2017,UTT-LUC-04,Uttar Pradesh,Lucknow,JDG-223,Appeal,Motor_Accident,Single_Judge,Execution,7,2017-01-10,2912,10,63,19,0.302,0,0,708,1825,1087,112,38.01,Medium
CASE/5619/2023,DEL-CEN-15,Delhi,Central,JDG-354,Execution,Senior_Citizen,Magistrate,Judgment,6,2023-07-10,540,19,10,7,0.7,1,0,72,180,360,96,61.97,High
CASE/3154/2021,TAM-COI-02,Tamil Nadu,Coimbatore,JDG-313,Revision,NDPS,Full_Bench,Execution,7,2019-04-07,2095,68,51,20,0.392,0,0,389,1095,1000,120,54.7,High
CASE/4940/2023,BIH-PAT-06,Bihar,Patna,JDG-882,Execution,Property_Dispute,Division_Bench,Execution,7,2016-02-29,3228,46,82,31,0.378,0,0,1499,2920,308,67,42.64,Medium
CASE/0373/2023,RAJ-JOD-04,Rajasthan,Jodhpur,JDG-740,Writ,SC_ST,Magistrate,Execution,7,2022-08-29,855,4,14,8,0.571,0,0,213,730,125,108,52.79,High
CASE/5352/2017,BIH-GAY-11,Bihar,Gaya,JDG-393,Revision,POCSO,Sessions,Execution,7,2016-09-06,3038,5,72,24,0.333,0,0,148,365,2673,20,49.49,Medium
CASE/6009/2020,WES-HOW-01,West Bengal,Howrah,JDG-959,Criminal,General_Criminal,Magistrate,Judgment,6,2023-02-03,697,14,21,12,0.571,0,1,397,730,0,10,65.07,High
CASE/5657/2017,UTT-LUC-07,Uttar Pradesh,Lucknow,JDG-608,Revision,General_Criminal,Sessions,Execution,7,2023-09-27,461,6,6,3,0.5,0,0,576,730,0,51,35.52,Medium
CASE/2325/2019,MAH-MUM-08,Maharashtra,Mumbai,JDG-467,Civil,Property_Dispute,Magistrate,Execution,7,2017-02-20,2871,224,67,20,0.299,1,0,1246,2920,0,95,63.77,High
CASE/5029/2017,BIH-MUZ-18,Bihar,Muzaffarpur,JDG-365,Appeal,Matrimonial,Single_Judge,Arguments,5,2017-05-18,2784,14,75,21,0.28,0,0,577,1825,959,41,42.34,Medium
CASE/0882/2021,UTT-ALL-01,Uttar Pradesh,Allahabad,JDG-728,Appeal,Senior_Citizen,Full_Bench,Arguments,5,2016-05-19,3148,43,77,23,0.299,1,0,106,180,2968,28,60.14,High
CASE/4554/2015,KAR-MAN-08,Karnataka,Mangaluru,JDG-734,Appeal,General_Civil,Sessions,Judgment,6,2016-11-12,2971,17,57,24,0.421,0,0,806,2190,781,109,39.21,Medium
CASE/9680/2015,MAH-NAS-03,Maharashtra,Nashik,JDG-233,Appeal,Motor_Accident,Division_Bench,Arguments,5,2019-08-16,1964,222,47,22,0.468,1,0,978,1825,139,66,67.99,High
CASE/5234/2019,KAR-HUB-17,Karnataka,Hubballi,JDG-327,Writ,SC_ST,Single_Judge,Judgment,6,2016-10-11,3003,11,75,17,0.227,0,0,218,730,2273,87,44.4,Medium
CASE/0277/2024,RAJ-JAI-08,Rajasthan,Jaipur,JDG-608,Civil,POCSO,Magistrate,Execution,7,2019-01-27,2165,7,59,9,0.153,0,0,142,365,1800,159,53.12,High
CASE/1064/2020,DEL-EAS-12,Delhi,East,JDG-793,Writ,Motor_Accident,Sessions,Judgment,6,2019-12-19,1839,23,38,10,0.263,0,0,697,1825,14,38,48.64,Medium
CASE/4033/2019,GUJ-VAD-10,Gujarat,Vadodara,JDG-240,Criminal,Motor_Accident,Single_Judge,Execution,7,2020-05-18,1688,74,33,15,0.455,0,0,615,1825,0,10,52.47,High
CASE/0723/2023,RAJ-KOT-14,Rajasthan,Kota,JDG-916,Civil,POCSO,Single_Judge,Judgment,6,2015-09-01,3409,52,86,32,0.372,1,0,154,365,3044,69,64.34,High
CASE/6760/2023,BIH-PAT-02,Bihar,Patna,JDG-560,Civil,Commercial,Single_Judge,Execution,7,2017-07-30,2711,14,66,27,0.409,0,0,318,365,2346,39,47.0,Medium
CASE/6944/2023,WES-DUR-03,West Bengal,Durgapur,JDG-113,Criminal,Property_Dispute,Sessions,Execution,7,2015-06-24,3478,350,100,29,0.29,1,0,972,2920,558,40,63.4,High
CASE/2427/2024,BIH-PAT-12,Bihar,Patna,JDG-450,Civil,Property_Dispute,Single_Judge,Judgment,6,2015-05-05,3528,147,80,22,0.275,0,0,1115,2920,608,10,52.02,High
CASE/0696/2021,MAH-NAS-03,Maharashtra,Nashik,JDG-352,Revision,Commercial,Single_Judge,Judgment,6,2020-01-30,1797,24,40,11,0.275,0,0,340,365,1432,10,45.68,Medium
CASE/0784/2019,MAH-NAS-08,Maharashtra,Nashik,JDG-382,Civil,Matrimonial,Sessions,Arguments,5,2019-01-19,2173,14,49,17,0.347,0,0,715,1825,348,101,44.5,Medium
CASE/1872/2018,MAD-GWA-07,Madhya Pradesh,Gwalior,JDG-678,Criminal,Motor_Accident,Single_Judge,Execution,7,2015-04-12,3551,127,80,18,0.225,0,0,643,1825,1726,99,47.58,Medium
CASE/5822/2022,WES-HOW-12,West Bengal,Howrah,JDG-710,Revision,General_Civil,Magistrate,Execution,7,2019-10-11,1908,105,37,21,0.568,0,0,753,2190,0,10,39.54,Medium
CASE/9196/2015,RAJ-KOT-01,Rajasthan,Kota,JDG-787,Civil,Commercial,Division_Bench,Execution,7,2018-09-29,2285,41,49,18,0.367,0,0,282,365,1920,84,48.55,Medium
CASE/7168/2021,TAM-SAL-06,Tamil Nadu,Salem,JDG-180,Writ,Property_Dispute,Division_Bench,Execution,7,2019-11-25,1863,180,43,15,0.349,0,0,1250,2920,0,233,25.26,Medium
CASE/7783/2015,GUJ-AHM-17,Gujarat,Ahmedabad,JDG-372,Criminal,Commercial,Single_Judge,Arguments,5,2015-05-12,3521,20,77,21,0.273,0,0,285,365,3156,10,43.54,Medium
CASE/5413/2024,WES-SIL-14,West Bengal,Siliguri,JDG-914,Writ,SC_ST,Single_Judge,Arguments,5,2015-04-13,3550,17,86,31,0.36,0,0,147,730,2820,10,40.78,Medium
CASE/7658/2016,UTT-LUC-15,Uttar Pradesh,Lucknow,JDG-120,Appeal,General_Criminal,Single_Judge,Judgment,6,2017-10-30,2619,94,57,15,0.263,1,0,490,730,1889,41,60.99,High
CASE/9223/2019,RAJ-JOD-18,Rajasthan,Jodhpur,JDG-422,Civil,General_Civil,Single_Judge,Execution,7,2021-06-09,1301,39,27,7,0.259,0,0,1024,2190,0,30,29.82,Medium
CASE/4187/2024,TAM-CHE-11,Tamil Nadu,Chennai,JDG-138,Civil,Senior_Citizen,Sessions,Arguments,5,2021-10-29,1159,14,19,3,0.158,0,0,105,180,979,10,47.26,Medium
CASE/9931/2023,DEL-NOR-20,Delhi,North,JDG-763,Appeal,Property_Dispute,Division_Bench,Arguments,5,2020-07-11,1634,43,44,16,0.364,0,0,1451,2920,0,116,29.67,Medium
CASE/1971/2021,UTT-ALL-15,Uttar Pradesh,Allahabad,JDG-669,Appeal,General_Criminal,Sessions,Execution,7,2019-04-15,2087,32,48,15,0.312,0,0,367,730,1357,65,31.99,Medium
CASE/2433/2018,RAJ-JAI-14,Rajasthan,Jaipur,JDG-150,Civil,Motor_Accident,Full_Bench,Execution,7,2020-06-09,1666,168,46,12,0.261,1,0,1013,1825,0,69,56.12,High
CASE/3823/2017,MAD-JAB-19,Madhya Pradesh,Jabalpur,JDG-547,Criminal,NDPS,Full_Bench,Arguments,5,2023-07-19,531,27,16,4,0.25,0,1,438,1095,0,106,44.89,Medium
CASE/4737/2024,KAR-MYS-17,Karnataka,Mysuru,JDG-725,Revision,General_Criminal,Single_Judge,Judgment,6,2021-05-17,1324,176,30,10,0.333,1,0,586,730,594,144,64.64,High
CASE/7059/2017,MAD-BHO-03,Madhya Pradesh,Bhopal,JDG-578,Criminal,NDPS,Division_Bench,Arguments,5,2015-04-18,3545,27,70,21,0.3,0,1,295,1095,2450,112,61.57,High
CASE/1459/2021,MAH-NAS-18,Maharashtra,Nashik,JDG-776,Civil,Senior_Citizen,Division_Bench,Execution,7,2015-08-13,3428,0,79,27,0.342,0,0,122,180,3248,39,45.83,Medium
CASE/3854/2020,MAH-NAG-04,Maharashtra,Nagpur,JDG-685,Civil,General_Civil,Sessions,Execution,7,2022-09-04,849,28,19,5,0.263,0,0,1011,2190,0,10,19.24,Low
CASE/7282/2015,BIH-BHA-05,Bihar,Bhagalpur,JDG-615,Civil,SC_ST,Sessions,Arguments,5,2023-03-13,659,4,12,5,0.417,0,0,243,730,0,10,53.25,High
CASE/8956/2021,DEL-NOR-17,Delhi,North,JDG-647,Civil,POCSO,Full_Bench,Judgment,6,2017-12-01,2587,50,46,12,0.261,1,0,135,365,2222,114,63.99,High
CASE/8552/2023,KAR-MYS-04,Karnataka,Mysuru,JDG-684,Writ,Property_Dispute,Division_Bench,Evidence,4,2023-04-09,632,171,20,4,0.2,0,0,1214,2920,0,573,21.5,Low
CASE/2828/2015,MAD-GWA-15,Madhya Pradesh,Gwalior,JDG-653,Revision,POCSO,Full_Bench,Judgment,6,2015-04-16,3547,2,94,34,0.362,0,0,103,365,3182,29,47.35,Medium
CASE/1536/2017,MAH-NAS-16,Maharashtra,Nashik,JDG-676,Appeal,Matrimonial,Magistrate,Arguments,5,2017-02-12,2879,42,59,17,0.288,0,0,578,1825,1054,10,47.22,Medium
CASE/1377/2017,UTT-VAR-20,Uttar Pradesh,Varanasi,JDG-790,Civil,Motor_Accident,Magistrate,Execution,7,2020-09-23,1560,201,44,19,0.432,1,0,697,1825,0,92,56.38,High
CASE/6939/2023,DEL-NOR-06,Delhi,North,JDG-574,Execution,General_Criminal,Division_Bench,Execution,7,2020-08-29,1585,50,34,13,0.382,0,0,488,730,855,10,42.17,Medium
CASE/9648/2020,WES-SIL-02,West Bengal,Siliguri,JDG-364,Civil,NDPS,Single_Judge,Arguments,5,2017-07-28,2713,79,77,31,0.403,1,0,389,1095,1618,157,64.07,High
CASE/0722/2022,UTT-KAN-04,Uttar Pradesh,Kanpur,JDG-281,Appeal,Matrimonial,Division_Bench,Execution,7,2021-03-10,1392,1,33,7,0.212,0,0,680,1825,0,89,35.61,Medium
CASE/5461/2021,MAD-GWA-18,Madhya Pradesh,Gwalior,JDG-897,Criminal,General_Civil,Single_Judge,Arguments,5,2018-12-21,2202,31,60,27,0.45,0,0,721,2190,12,63,50.66,High
CASE/0741/2024,MAD-JAB-06,Madhya Pradesh,Jabalpur,JDG-955,Execution,NDPS,Full_Bench,Execution,7,2019-09-24,1925,33,46,13,0.283,0,0,315,1095,830,170,44.58,Medium
CASE/4339/2024,DEL-EAS-13,Delhi,East,JDG-372,Criminal,General_Civil,Single_Judge,Arguments,5,2019-10-25,1894,1,51,9,0.176,0,0,765,2190,0,59,44.9,Medium
CASE/0191/2017,MAD-GWA-05,Madhya Pradesh,Gwalior,JDG-204,Appeal,SC_ST,Full_Bench,Execution,7,2021-04-16,1355,16,29,8,0.276,0,0,215,730,625,10,43.6,Medium
CASE/3984/2021,WES-HOW-06,West Bengal,Howrah,JDG-659,Revision,Matrimonial,Sessions,Execution,7,2018-02-01,2525,29,49,16,0.327,0,0,456,1825,700,10,49.83,Medium
CASE/4357/2023,KAR-BEN-17,Karnataka,Bengaluru,JDG-813,Criminal,General_Criminal,Sessions,Execution,7,2019-06-27,2014,7,45,16,0.356,0,1,369,730,1284,80,66.4,High
CASE/2253/2019,BIH-GAY-20,Bihar,Gaya,JDG-254,Appeal,POCSO,Magistrate,Judgment,6,2019-06-07,2034,9,46,19,0.413,0,0,122,365,1669,71,50.24,High
CASE/6962/2015,BIH-BHA-20,Bihar,Bhagalpur,JDG-191,Civil,General_Criminal,Single_Judge,Execution,7,2021-12-27,1100,4,28,10,0.357,0,0,495,730,370,10,48.89,Medium
CASE/4068/2020,RAJ-JAI-07,Rajasthan,Jaipur,JDG-755,Revision,SC_ST,Sessions,Judgment,6,2022-06-01,944,0,24,12,0.5,0,0,242,730,214,10,45.25,Medium
CASE/3496/2022,KAR-MYS-14,Karnataka,Mysuru,JDG-100,Criminal,SC_ST,Magistrate,Execution,7,2023-01-26,705,1,25,11,0.44,0,0,217,730,0,10,43.19,Medium
CASE/5263/2023,GUJ-SUR-08,Gujarat,Surat,JDG-510,Writ,POCSO,Single_Judge,Execution,7,2020-09-24,1559,2,29,14,0.483,0,0,123,365,1194,10,37.81,Medium
CASE/4950/2022,GUJ-AHM-06,Gujarat,Ahmedabad,JDG-227,Writ,Matrimonial,Full_Bench,Arguments,5,2016-08-15,3060,55,71,26,0.366,0,0,646,1825,1235,10,50.33,High
CASE/0518/2018,DEL-CEN-14,Delhi,Central,JDG-380,Execution,Matrimonial,Full_Bench,Execution,7,2022-10-25,798,87,17,5,0.294,0,0,538,1825,0,55,24.32,Low
CASE/7934/2016,MAH-NAS-13,Maharashtra,Nashik,JDG-229,Appeal,SC_ST,Sessions,Execution,7,2023-08-30,489,68,6,3,0.5,1,0,167,730,0,10,45.81,Medium
CASE/0047/2021,RAJ-JAI-18,Rajasthan,Jaipur,JDG-248,Execution,General_Civil,Sessions,Judgment,6,2020-03-06,1761,9,38,15,0.395,0,0,794,2190,0,47,45.59,Medium
CASE/6779/2023,UTT-VAR-03,Uttar Pradesh,Varanasi,JDG-959,Writ,Property_Dispute,Division_Bench,Execution,7,2016-03-04,3224,287,84,24,0.286,1,0,1167,2920,304,10,52.38,High
CASE/8945/2021,GUJ-SUR-13,Gujarat,Surat,JDG-732,Writ,Motor_Accident,Sessions,Execution,7,2021-11-30,1127,2,23,6,0.261,0,0,635,1825,0,29,32.97,Medium
CASE/5106/2023,TAM-SAL-20,Tamil Nadu,Salem,JDG-419,Appeal,General_Civil,Sessions,Arguments,5,2019-04-11,2091,104,49,10,0.204,0,0,749,2190,0,10,40.03,Medium
CASE/5138/2015,UTT-VAR-11,Uttar Pradesh,Varanasi,JDG-728,Writ,General_Criminal,Single_Judge,Execution,7,2016-03-29,3199,0,81,35,0.432,0,0,617,730,2469,45,47.59,Medium
CASE/4037/2021,KAR-MYS-02,Karnataka,Mysuru,JDG-459,Writ,Property_Dispute,Single_Judge,Execution,7,2022-10-16,807,252,14,5,0.357,1,0,1063,2920,0,481,31.14,Medium
CASE/1014/2018,UTT-LUC-16,Uttar Pradesh,Lucknow,JDG-870,Appeal,SC_ST,Sessions,Execution,7,2021-09-07,1211,5,33,10,0.303,0,0,247,730,481,57,53.85,High
CASE/4073/2021,BIH-BHA-07,Bihar,Bhagalpur,JDG-202,Writ,Motor_Accident,Division_Bench,Judgment,6,2022-12-15,747,80,22,9,0.409,0,0,719,1825,0,39,25.01,Medium
CASE/0915/2021,BIH-MUZ-11,Bihar,Muzaffarpur,JDG-150,Revision,Matrimonial,Single_Judge,Execution,7,2020-06-11,1664,62,53,18,0.34,0,0,635,1825,0,10,43.64,Medium
CASE/9509/2019,MAH-NAG-05,Maharashtra,Nagpur,JDG-400,Revision,NDPS,Single_Judge,Judgment,6,2017-01-02,2920,26,69,24,0.348,0,0,461,1095,1825,89,42.25,Medium
CASE/7126/2021,WES-SIL-09,West Bengal,Siliguri,JDG-151,Revision,General_Civil,Magistrate,Execution,7,2020-07-30,1615,4,39,11,0.282,0,0,744,2190,0,18,39.43,Medium
CASE/5092/2020,GUJ-RAJ-09,Gujarat,Rajkot,JDG-601,Civil,Senior_Citizen,Full_Bench,Execution,7,2019-10-02,1917,11,37,13,0.351,0,0,123,180,1737,55,57.26,High
CASE/7383/2019,MAD-GWA-18,Madhya Pradesh,Gwalior,JDG-326,Revision,POCSO,Full_Bench,Execution,7,2023-08-12,507,44,14,6,0.429,1,0,155,365,142,10,67.35,High
CASE/6055/2019,TAM-CHE-14,Tamil Nadu,Chennai,JDG-996,Criminal,Senior_Citizen,Magistrate,Judgment,6,2023-12-17,380,0,10,5,0.5,0,0,111,180,200,94,41.87,Medium
CASE/4739/2015,WES-HOW-06,West Bengal,Howrah,JDG-747,Writ,Motor_Accident,Magistrate,Arguments,5,2016-03-20,3208,61,68,35,0.515,0,0,1019,1825,1383,10,49.9,Medium
CASE/6972/2017,GUJ-VAD-08,Gujarat,Vadodara,JDG-279,Civil,POCSO,Single_Judge,Judgment,6,2017-02-03,2888,23,67,25,0.373,1,0,133,365,2523,43,62.44,High
CASE/7838/2022,KAR-HUB-06,Karnataka,Hubballi,JDG-237,Appeal,Property_Dispute,Magistrate,Arguments,5,2018-06-26,2380,345,48,18,0.375,1,0,1120,2920,0,169,57.1,High
CASE/1296/2017,GUJ-AHM-13,Gujarat,Ahmedabad,JDG-194,Civil,POCSO,Single_Judge,Judgment,6,2018-02-24,2502,15,64,22,0.344,0,0,164,365,2137,92,45.34,Medium
CASE/6362/2015,GUJ-VAD-18,Gujarat,Vadodara,JDG-115,Execution,General_Civil,Sessions,Judgment,6,2015-01-26,3627,417,83,34,0.41,1,0,1149,2190,1437,11,62.83,High
CASE/7884/2022,UTT-KAN-19,Uttar Pradesh,Kanpur,JDG-300,Appeal,General_Civil,Division_Bench,Execution,7,2021-04-07,1364,203,37,10,0.27,1,0,741,2190,0,79,48.58,Medium
CASE/7276/2015,UTT-ALL-19,Uttar Pradesh,Allahabad,JDG-556,Writ,General_Criminal,Full_Bench,Execution,7,2023-12-29,368,10,6,4,0.667,0,0,610,730,0,171,36.48,Medium
CASE/6964/2016,KAR-MAN-09,Karnataka,Mangaluru,JDG-268,Execution,Senior_Citizen,Single_Judge,Execution,7,2016-08-26,3049,10,71,21,0.296,0,0,110,180,2869,38,43.53,Medium
CASE/7844/2020,MAH-PUN-17,Maharashtra,Pune,JDG-454,Criminal,NDPS,Magistrate,Execution,7,2017-07-22,2719,106,56,21,0.375,1,1,341,1095,1624,28,79.73,Critical
CASE/9079/2020,DEL-EAS-18,Delhi,East,JDG-477,Appeal,POCSO,Division_Bench,Execution,7,2022-02-16,1049,51,27,6,0.222,1,0,166,365,684,19,65.25,High
CASE/9134/2018,RAJ-JOD-10,Rajasthan,Jodhpur,JDG-999,Civil,Senior_Citizen,Full_Bench,Arguments,5,2020-08-24,1590,3,43,13,0.302,0,0,102,180,1410,90,48.45,Medium
CASE/7033/2019,RAJ-UDA-09,Rajasthan,Udaipur,JDG-392,Civil,POCSO,Full_Bench,Arguments,5,2018-06-05,2401,1,50,13,0.26,0,0,117,365,2036,10,52.12,High
CASE/1826/2017,MAD-GWA-05,Madhya Pradesh,Gwalior,JDG-830,Civil,Commercial,Division_Bench,Execution,7,2017-03-03,2860,28,58,17,0.293,0,0,299,365,2495,10,32.78,Medium
CASE/8049/2024,MAD-GWA-18,Madhya Pradesh,Gwalior,JDG-561,Execution,General_Criminal,Single_Judge,Execution,7,2023-03-24,648,5,10,1,0.1,0,0,614,730,0,36,33.29,Medium
CASE/4809/2017,MAD-JAB-07,Madhya Pradesh,Jabalpur,JDG-131,Execution,Commercial,Division_Bench,Execution,7,2020-06-27,1648,94,37,16,0.432,1,0,314,365,1283,38,67.1,High
CASE/5794/2015,TAM-SAL-06,Tamil Nadu,Salem,JDG-162,Appeal,SC_ST,Sessions,Execution,7,2022-05-07,969,17,24,7,0.292,0,0,199,730,239,21,42.25,Medium
CASE/5390/2018,UTT-KAN-08,Uttar Pradesh,Kanpur,JDG-723,Writ,POCSO,Magistrate,Execution,7,2015-05-16,3517,1,83,24,0.289,0,0,143,365,3152,108,43.44,Medium
CASE/4371/2024,TAM-MAD-18,Tamil Nadu,Madurai,JDG-968,Criminal,General_Civil,Full_Bench,Execution,7,2017-07-28,2713,159,60,26,0.433,0,0,1123,2190,523,69,51.95,High
CASE/1702/2023,TAM-MAD-01,Tamil Nadu,Madurai,JDG-551,Execution,POCSO,Magistrate,Arguments,5,2015-10-11,3369,24,90,26,0.289,1,0,158,365,3004,10,60.36,High
CASE/5659/2017,MAD-GWA-17,Madhya Pradesh,Gwalior,JDG-360,Appeal,SC_ST,Full_Bench,Execution,7,2018-02-16,2510,12,56,16,0.286,0,0,225,730,1780,10,46.62,Medium
CASE/8712/2018,GUJ-VAD-09,Gujarat,Vadodara,JDG-804,Civil,Motor_Accident,Full_Bench,Execution,7,2020-12-31,1461,43,36,20,0.556,0,0,808,1825,0,10,43.97,Medium
CASE/7379/2023,UTT-KAN-20,Uttar Pradesh,Kanpur,JDG-757,Criminal,General_Criminal,Single_Judge,Judgment,6,2016-03-14,3214,69,71,33,0.465,0,1,536,730,2484,38,63.48,High
CASE/8793/2022,GUJ-SUR-20,Gujarat,Surat,JDG-776,Criminal,SC_ST,Sessions,Judgment,6,2020-08-19,1595,36,31,13,0.419,1,0,243,730,865,21,67.69,High
CASE/6973/2024,RAJ-KOT-20,Rajasthan,Kota,JDG-895,Revision,General_Criminal,Sessions,Execution,7,2020-12-01,1491,162,43,22,0.512,1,0,370,730,761,37,62.86,High
CASE/9483/2017,KAR-BEN-10,Karnataka,Bengaluru,JDG-380,Appeal,Matrimonial,Single_Judge,Judgment,6,2020-05-17,1689,131,44,16,0.364,1,0,708,1825,0,97,59.68,High
CASE/0597/2016,MAD-IND-09,Madhya Pradesh,Indore,JDG-653,Criminal,Motor_Accident,Sessions,Judgment,6,2023-03-05,667,58,13,5,0.385,0,0,1019,1825,0,122,29.28,Medium
CASE/3338/2023,WES-DUR-06,West Bengal,Durgapur,JDG-706,Criminal,NDPS,Division_Bench,Execution,7,2022-04-11,995,20,18,7,0.389,0,1,429,1095,0,56,54.67,High
CASE/9307/2016,MAD-IND-17,Madhya Pradesh,Indore,JDG-761,Criminal,Commercial,Single_Judge,Execution,7,2016-09-10,3034,34,72,27,0.375,0,0,247,365,2669,10,52.91,High
CASE/9283/2018,BIH-BHA-01,Bihar,Bhagalpur,JDG-987,Criminal,Motor_Accident,Sessions,Execution,7,2016-12-07,2946,8,79,19,0.241,0,0,887,1825,1121,10,50.77,High
CASE/2749/2017,BIH-PAT-19,Bihar,Patna,JDG-935,Criminal,General_Civil,Single_Judge,Execution,7,2016-05-11,3156,14,72,27,0.375,0,0,946,2190,966,10,49.25,Medium
CASE/0035/2015,UTT-LUC-06,Uttar Pradesh,Lucknow,JDG-495,Criminal,Commercial,Sessions,Execution,7,2015-09-16,3394,37,83,43,0.518,0,0,309,365,3029,103,46.12,Medium
CASE/0489/2023,MAD-JAB-13,Madhya Pradesh,Jabalpur,JDG-787,Civil,SC_ST,Sessions,Execution,7,2022-01-30,1066,1,30,9,0.3,0,0,219,730,336,10,43.41,Medium
CASE/8975/2016,BIH-BHA-13,Bihar,Bhagalpur,JDG-481,Civil,SC_ST,Division_Bench,Arguments,5,2018-04-25,2442,13,56,18,0.321,0,0,181,730,1712,104,55.05,High
CASE/3855/2023,WES-KOL-10,West Bengal,Kolkata,JDG-765,Execution,POCSO,Full_Bench,Arguments,5,2018-03-31,2467,33,47,13,0.277,1,0,123,365,2102,54,58.94,High
CASE/7907/2019,TAM-CHE-19,Tamil Nadu,Chennai,JDG-756,Civil,General_Civil,Sessions,Judgment,6,2019-09-21,1928,115,41,15,0.366,0,0,916,2190,0,28,37.27,Medium
CASE/9646/2020,KAR-MYS-11,Karnataka,Mysuru,JDG-135,Appeal,NDPS,Single_Judge,Execution,7,2022-08-02,882,13,28,12,0.429,0,0,361,1095,0,10,34.7,Medium
CASE/2989/2015,MAH-PUN-01,Maharashtra,Pune,JDG-437,Appeal,Property_Dispute,Full_Bench,Arguments,5,2019-02-24,2137,140,50,16,0.32,0,0,934,2920,0,10,46.79,Medium
CASE/0321/2015,DEL-EAS-15,Delhi,East,JDG-784,Writ,SC_ST,Magistrate,Judgment,6,2019-11-21,1867,2,47,23,0.489,0,0,178,730,1137,26,47.13,Medium
CASE/0214/2021,WES-SIL-09,West Bengal,Siliguri,JDG-988,Civil,SC_ST,Full_Bench,Execution,7,2019-02-28,2133,28,35,8,0.229,0,0,149,730,1403,18,41.88,Medium
CASE/7324/2023,UTT-LUC-08,Uttar Pradesh,Lucknow,JDG-508,Civil,NDPS,Single_Judge,Execution,7,2018-08-19,2326,115,56,23,0.411,1,0,359,1095,1231,21,63.13,High
CASE/8566/2024,DEL-NOR-20,Delhi,North,JDG-891,Civil,Property_Dispute,Full_Bench,Execution,7,2015-03-03,3591,124,77,22,0.286,0,0,1027,2920,671,31,41.07,Medium
CASE/3315/2019,BIH-GAY-14,Bihar,Gaya,JDG-486,Revision,Motor_Accident,Division_Bench,Execution,7,2021-03-19,1383,19,25,11,0.44,0,0,645,1825,0,23,37.27,Medium
CASE/7523/2015,BIH-BHA-06,Bihar,Bhagalpur,JDG-652,Revision,Motor_Accident,Division_Bench,Execution,7,2020-12-02,1490,31,27,9,0.333,0,0,752,1825,0,59,29.78,Medium
CASE/7952/2024,WES-KOL-16,West Bengal,Kolkata,JDG-131,Execution,General_Civil,Full_Bench,Execution,7,2015-10-25,3355,109,76,37,0.487,0,0,861,2190,1165,10,51.66,High
CASE/1271/2024,GUJ-RAJ-06,Gujarat,Rajkot,JDG-123,Appeal,Matrimonial,Magistrate,Judgment,6,2020-02-05,1791,51,41,18,0.439,0,0,447,1825,0,10,47.64,Medium
CASE/2175/2021,DEL-SOU-05,Delhi,South,JDG-565,Civil,POCSO,Full_Bench,Judgment,6,2022-11-13,779,5,15,3,0.2,0,0,157,365,414,65,45.42,Medium
CASE/1289/2023,BIH-GAY-13,Bihar,Gaya,JDG-477,Writ,POCSO,Sessions,Execution,7,2015-01-24,3629,16,80,42,0.525,0,0,147,365,3264,126,55.56,High
CASE/8364/2020,KAR-BEN-15,Karnataka,Bengaluru,JDG-598,Writ,Matrimonial,Magistrate,Execution,7,2016-04-27,3170,33,74,20,0.27,0,0,540,1825,1345,10,44.12,Medium
CASE/4863/2021,MAD-GWA-03,Madhya Pradesh,Gwalior,JDG-902,Appeal,Senior_Citizen,Division_Bench,Judgment,6,2021-10-02,1186,1,25,6,0.24,0,0,125,180,1006,10,47.29,Medium
CASE/4593/2016,UTT-LUC-18,Uttar Pradesh,Lucknow,JDG-512,Criminal,General_Civil,Sessions,Execution,7,2021-10-28,1160,4,21,7,0.333,0,0,884,2190,0,114,30.41,Medium
